10,,,,,,,,,,,,
6,7,8,7,8,9,9,9,9,10, ,,
30,,,,,,,,,,,,
36,40,40,40,42,41,42,41,43,43, ,,
50,,,,,,,,,,,,
40,40,40,41,41,41,42,42,43,43, ,,
100,,,,,,,,,,,,
99,101,102,102,102,103,104,108,108,108, ,,
200,,,,,,,,,,,,
196,197,198,198,204,204,205,206,206,206, ,,
500,,,,,,,,,,,,
649,657,657,693,706,711,717,719,720,727, ,,
1000,,,,,,,,,,,,
1347,1351,1357,1359,1362,1362,1363,1363,1366,1366, ,,
2000,,,,,,,,,,,,
4245,4261,4268,4269,4269,4276,4277,4277,4281,4284, ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,numSolicitudes,mean,std,,,,,,,,
,,10,8.2,1.229272594,,,,,,,,
,,30,40.8,2.043961296,,,,,,,,
,,50,41.3,1.159501809,,,,,,,,
,,100,103.7,3.23350515,,,,,,,,
,,200,202,4.18993503,,,,,,,,
,,500,695.6,29.98221695,,,,,,,,
,,1000,1359.6,6.292853089,,,,,,,,
,,2000,4270.7,11.34362278,,,,,,,,
